full date,Item name,all
2022.06.01 17:53,cacao,"What is left in KAKAO after all the divisions that make the company money are split and separated into subsidiaries? If you want to buy it, you have to buy a separately listed subsidiary. Google YouTube, Google Search, Google Ads... Have you ever seen Google stock split in this way? What Google doesn't do, KAKAO is doing."
2022.06.01 18:30,cacao,"Yoo Young-doo says it's going to go 150,000 won ㅋ Now I get 1 million won each in one shot ke I'll make the most money with KAKAO so I'll be full ^^"
2022.06.01 19:29,cacao,I took the highest price last year and cut it in half.
2022.06.01 20:50,cacao,"Foreigners make 85,000 won...1. Expected to rise sharply to KRW96,000~ 2. Increase in June-July. 3. Strong Buy! * Please note that this is a personal analysis, and we are not responsible for the investment."
2022.06.01 22:34,cacao,"branch line? The Hypocrites Party along with the emergency breaking news ㆍ The Manjin Party along with the Fatherland Party also lost the local election Chuka Chuka ㆍ Daejang-dong Baekhyeon-dong Seongnam F&C Did you run away from Bundang because you were afraid of Gyeyang? Hahahaha, the hypocrite Moon administration has ended, so it has surpassed 130,000 in a year"
2022.06.01 22:49,cacao,Spoon on delivery to generate revenue Ah. Real drug lords
2022.06.01 23:07,cacao,"Song Younggi! Good bye! I'm not going far! Because you guys are babbling about regulating KakaoTalk, it's still -4 thousand if you want to get it right now. Also, don't even use KakaoTalk! Well, I keep writing last night, I know it's Manjindang with you. Reflect on yourself too!"
2022.06.01 23:20,cacao,"My dream is gone, I'm only playing in the neighborhood, but now I'm not as good as Never. I brought a small business and made it like this, so I hope it's over now."
2022.06.01 23:52,cacao,"Summaryhttp://naver.me/5g3OWTgRhttps://www.thedailystar.net/news/bangladesh/news/rice-pricier-even-peak-boro-season-3036271 8-10 Tk per kg for 2 weeks. In other kitchen markets, the price of coarse rice has risen to Tk 52-54 per kg and fine rice sold for Tk 65 to Tk 80 per kg yesterday. Follow the Daily Star's Google News channel for all the latest news. According to the Bangladesh Trade Corporation (TCB), the price of coarse grain and fine rice rose 5.38% and 3.17%, respectively, over the past seven days. Traders said the mill owners are not supplying enough rice to the market and prices could rise further if supply is not improved. When asked questions, Department of Agricultural Extension (DAE) director Benjir Alam said the market did not run out of rice because farmers had cultivated boroughs on 49.63 million hectares, 90,000 hectares more than last year. He said only about 18,500 hectares of rice fields have been affected by flooding this season. ""Besides, the directing was good."" DG expects to harvest 2.11 million tonnes of paddy this Boro season, adding that nearly 94% of the target has already been achieved. What's more, until the end of this month, farmers across the country continue to bring rice from the paddy fields. He blamed the merchants and millers for causing an artificial shortage in the market. However, several mill owners in other areas said the rice they bought from farmers was not ripe enough and not dried enough to produce rice immediately. Meanwhile, the government raided the whole country to control inflation, but it did not have much effect from the first day. Yesterday afternoon officials took a drive to the rice wholesale market in Old Dhaka Babu Bazaar, but found that most of the shops were closed. The Ministry of Food and Drug Safety and eight teams from the Ministry of Food and Drug Safety are scheduled to drive in the capital today. The movement began a day after the Cabinet directed officials to take action against companies involved in unauthorized rice business and stockpiling. Interior Minister Khandker Anwarul Islam said on Sunday that some conglomerates were stockpiling rice without legal approval. Yesterday, Siddikur Rahman, a resident of the capital Nahalpara, said from a chef in the capital, “I bought mini-ket rice for Tk 62 per kg. As the price of other daily necessities rose, I switched to BIRI-29. It was Tk 52. Now BIRI-29 is Tk 57 per kg. ""We're trying really hard to cut our spending, but we're failing,"" he said. At the NA market in Dinajpur, one of the largest rice markets in the country, our correspondent discovered yesterday that Miniket rice sold for 3,200-3,300 Tk per 50 kg sack, BRRI-28 2,750-2,800 Tk, Paizam 2,600 Tk, Swarna. 2,300 Tk, Basmati 3,800 Tk. Traders said the price of a 50 kg sack had increased by Tk 400-500 in two weeks. ""Prices change almost every day,"" said Golam Ravani, shopkeeper at the market. He blamed the mill owner for this. On the other hand, Azizul Iqbal Chowdhury, co-secretary of the Dinajpur Mill Operators' Association, argued that mill owners were buying the rice at a higher price. Rice prices in Kushtia increased by 4 Tk/kg on Saturday. Fresh Agro Mill's managing director, Umar Faruk, followed Azizul in blaming the price of rice. But the farmers disagree. Rice paddy prices have not risen, said Jakaria Hossain, a rice grower in Khajanagar, Kushtia. In Rajshahi, rice merchants blamed the lack of supply. Rain, hailstorms and pest attack have significantly reduced rice yields, they said. Nirod Baran Saha, president of Naogaon's Association of Rice and Rice Inventories and Wholesalers, said rice production in the Rajshahi region was 1.12 tonnes less than expected per hectare. ""I expect rice prices to drop this week as millers can produce and supply rice,"" he said. Reporters from Rajshahi, Dinajpur and Kushtia contributed to this report. https://www.businessworld.in/article/India-s-Unusual-Wheat-Diplomacy/01-06-2022-430924/ Summary Sinsong Holdings, a state related to the weaponization of food resources in India"
2022.06.02 01:45,cacao,"Did I tell you?? KAKAO is too chewy and Naver is called hahaha Naver is worth buying, I don't buy both hahaha"
2022.06.02 01:54,cacao,"KAKAO stock price outlook and analysisddomi.tistory.com/43 This is an objective analysis, please do not empathize"
2022.06.02 08:06,cacao,"The fun of today's compressed movie is,,,,//This election was a national power operation to kill Lee Jae-myung and completely eliminate the traces of Lee Jae-myung in Gyeonggi-do. saw a light funny movie"
2022.06.02 08:17,cacao,"If Christmas falls on a Saturday or Sunday, please designate Monday as a substitute holiday. If Christmas falls on a Saturday or Sunday, please designate Monday as a substitute holiday."
2022.06.02 08:19,cacao,"I'm asking for the second time... the average price is 90,000 won, and 1000 shares are dry.... is it coming?"
2022.06.02 08:27,cacao,"I'm asking for the second time... My blood is dry for 90,000 won 1,000 shares....I'm in a similar situation to you. If it's not shining, wait, don't lose your hand!"
2022.06.02 08:38,cacao,"Summary https://www.thedailystar.net/news/bangladesh/news/rice-pricier-even-peak-boro-season-3036271 Rice prices have risen by 8-10 Tk/kg in the past two weeks despite rice harvest season and rice abundance . In other kitchen markets, the price of coarse rice has risen to Tk 52-54 per kg and fine rice sold for Tk 65 to Tk 80 per kg yesterday. Follow the Daily Star's Google News channel for all the latest news. According to the Bangladesh Trade Corporation (TCB), the price of coarse grain and fine rice rose 5.38% and 3.17%, respectively, over the past seven days. Traders said the mill owners are not supplying enough rice to the market and prices could rise further if supply is not improved. When asked questions, Department of Agricultural Extension (DAE) director Benjir Alam said the market did not run out of rice because farmers had cultivated boroughs on 49.63 million hectares, 90,000 hectares more than last year. He said only about 18,500 hectares of rice fields have been affected by flooding this season. ""Besides, the directing was good."" DG expects to harvest 2.11 million tonnes of paddy this Boro season, adding that nearly 94% of the target has already been achieved. What's more, until the end of this month, farmers across the country continue to bring rice from the paddy fields. He blamed the merchants and millers for causing an artificial shortage in the market. However, several mill owners in other areas said the rice they bought from farmers was not ripe enough and not dried enough to produce rice immediately. Meanwhile, the government raided the whole country to control inflation, but it did not have much effect from the first day. Yesterday afternoon officials took a drive to the rice wholesale market in Old Dhaka Babu Bazaar, but found that most of the shops were closed. The Ministry of Food and Drug Safety and eight teams from the Ministry of Food and Drug Safety are scheduled to drive in the capital today. The movement began a day after the Cabinet directed officials to take action against companies involved in unauthorized rice business and stockpiling. Interior Minister Khandker Anwarul Islam said on Sunday that some conglomerates were stockpiling rice without legal approval. Yesterday, Siddikur Rahman, a resident of the capital Nahalpara, said from a chef in the capital, “I bought mini-ket rice for Tk 62 per kg. As the price of other daily necessities rose, I switched to BIRI-29. It was Tk 52. Now BIRI-29 is Tk 57 per kg. ""We're trying really hard to cut our spending, but we're failing,"" he said. At the NA market in Dinajpur, one of the largest rice markets in the country, our correspondent discovered yesterday that Miniket rice sold for 3,200-3,300 Tk per 50 kg sack, BRRI-28 2,750-2,800 Tk, Paizam 2,600 Tk, Swarna. 2,300 Tk, Basmati 3,800 Tk. Traders said the price of a 50 kg sack had increased by Tk 400-500 in two weeks. ""Prices change almost every day,"" said Golam Ravani, shopkeeper at the market. He blamed the mill owner for this. On the other hand, Azizul Iqbal Chowdhury, co-secretary of the Dinajpur Mill Operators' Association, argued that mill owners were buying the rice at a higher price. Rice prices in Kushtia increased by 4 Tk/kg on Saturday. Fresh Agro Mill's managing director, Umar Faruk, followed Azizul in blaming the price of rice. But the farmers disagree. Rice paddy prices have not risen, said Jakaria Hossain, a rice grower in Khajanagar, Kushtia. In Rajshahi, rice merchants blamed the lack of supply. Rain, hailstorms and pest attack have significantly reduced rice yields, they said. Nirod Baran Saha, president of Naogaon's Association of Rice and Rice Inventories and Wholesalers, said rice production in the Rajshahi region was 1.12 tonnes less than expected per hectare. ""I expect rice prices to drop this week as millers can produce and supply rice,"" he said. Reporters from Rajshahi, Dinajpur and Kushtia contributed to this report. https://www.businessworld.in/article/India-s-Unusual-Wheat-Diplomacy/01-06-2022-430924/ Summary Sinsong Holdings, a state related to the weaponization of food resources in India"
2022.06.02 08:52,cacao,Good news announcement Buying force is inflowing~http://daily.hankooki.com/news/articleView.html?idxno=831230
2022.06.02 09:03,cacao,I raised 1100 won and took out the herbal crab today lol.
2022.06.02 09:06,cacao,I joined KAKAO Fighting.....
2022.06.02 09:08,cacao,Escape
2022.06.02 09:08,cacao,"It's barely holding up 80,000 won. For the 25,000 won theme.."
2022.06.02 09:12,cacao,"You said that it will go up from June, but it doesn't go up right?"
2022.06.02 09:15,cacao,"What kind of technology does KAKAO technology take away from the tech stock market? Deputy driver, taxi market skill to take a step forward in the taxi market because it is not enough to put a spoon? what kind of tech is this ㅋㅋ Shareholders, we don't have to worry about the tech stock crash. Be comfortable~~"
2022.06.02 09:19,cacao,"ㅇㅇㅇ It's a textbook for a company~~~ Those who don't have awards, they don't have any technology, and they don't."
2022.06.02 09:19,cacao,Is it now?
2022.06.02 09:20,cacao,What is the slump?... Being like Naver's minions Always falling a lot more than Naver... Always a little higher than Naver... There is nothing better.... Naver shit ggo suck me
2022.06.02 09:21,cacao,One full buying opportunity today?
2022.06.02 09:24,cacao,It's like a sulphur~~ A very fucking sport~~ Eheh
2022.06.02 09:25,cacao,It doesn't feel natural at all to drop it now.
2022.06.02 09:26,cacao,"Someday in Falcao, I'll go to the 4th floor."
2022.06.02 09:28,cacao,"First place when it goes down on Naver, last place when it rises"
2022.06.02 09:29,cacao,"I don't have too much basic stamina. If the NASDAQ goes down a bit, I'll just hit it lol. Stop splitting it up really."
2022.06.02 09:30,cacao,Short covering Tongjeong floor
2022.06.02 09:32,cacao,"Let's buy in installments, this amount is cheap, let's buy it quickly"
2022.06.02 09:36,cacao,"What is it that the rebound can't even be done??? The decline is already deep, so everyone is robbing it??? I've already been bitten, can't I pursue it to earn pocket money????"
2022.06.02 09:37,cacao,"What is this? It's okay. Even if it's 10,000 won, I'm making a profit. I'll find my way someday"
2022.06.02 09:39,cacao,This is because of YouTube.
2022.06.02 09:39,cacao,It's a short sale restaurant...it's just too easy.
2022.06.02 09:39,cacao,June 2nd KAKAO food delivery start ㅅㅅ Today KAKAO food delivery release date ㅅㅅ It's KAKAO picker open day.
2022.06.02 09:43,cacao,"Aigoi, let's see"
2022.06.02 09:47,cacao,"KAKAO employees,,,,,,,,,,,,, people outside are envious of the KAKAO employees,,,,, complaining,,,,, There has been a saying from the old days that if you treat your servant well, you will not know your boss,,,, You shouldn't treat the staff too much,,,, don't be swayed, hold on tight,,,,,,,,,,,,,"
2022.06.02 09:49,cacao,"Don't give it to me, don't give it to strangers at a cheap price."
2022.06.02 09:57,cacao,"I wonder if it will ever exceed 100,000 won... I'm tired of waiting"
2022.06.02 09:59,cacao,I feel like it will roll up in the afternoon haha
2022.06.02 09:59,cacao,"Don't give up even a week If you buy a stock, you take it to the end. KAKAO goes up if you have it. Keep it until the end."
2022.06.02 10:05,cacao,Yoo Young-doo Who pays the 1 million won membership fee? Recommended Naver KEPCO KAKAO sk Bio Farm It's surprising how many people believe and follow it even though it hasn't climbed a single stock for a year and it's been cut in half.
2022.06.02 10:08,cacao,"[If you put on the right no, you become a crooked dwarf!!] Now.. take off the no!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!"
2022.06.02 10:09,cacao,I will go 800 won hahahahahahaha
2022.06.02 10:14,cacao,"[Besides, when people gather, you become a distorted person!!] Now.. Get rid of those people too!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
2022.06.02 10:15,cacao,"Stop mopping the ants, let's go up, roll it up quickly and lift it up"
2022.06.02 10:16,cacao,It has begun. Today is the day to record a legend.
2022.06.02 10:28,cacao,"256 Gaza,,,,,,,,,,,,,"
2022.06.02 10:48,cacao,"Is the election effect of Yoon Do-ri over? Haha The scalability is over. They say that KAKAO is not attractive because it is a representative physical spin-off company. They said that scalability is life for platform companies. What are they doing? Did the world's best platform companies like Google give up scalability through physical division because they were stupid? Whether to become a shareholder-friendly company through a complex governance structure to lay a foothold for second-generation management, and whether or not to become a gift-driven company"
2022.06.02 10:49,cacao,You still haven't received your paycheck? Was it a lie?
2022.06.02 10:54,cacao,"You have to follow Naver, go go go"
2022.06.02 10:58,cacao,"Naver is a beekeeper, KAKAO is not a master of beekeeping, so why do you say buy it on YouTube, so if you buy it, it will never go up."
2022.06.02 10:59,cacao,KAKAO It'll be fine~~
2022.06.02 11:03,cacao,Fighting KAKAO! Let's cheer up today and ride the uptrend.
2022.06.02 11:20,cacao,He doesn't seem to have a way to revive. Is the owner's limit coming out? almost garbage company
2022.06.02 11:59,cacao,"JP dog .s.ㄲ. Stop the night work... Let's go up a bit... This garbage s.ㄲ....If you want it to go up a little, it's a short sale...Damn you Jewish capitalist.... I mean, do stocks...this bur.r.g. S.ㄲ.Hey..."
2022.06.02 12:05,cacao,"KAKAO ~~Oh~~ We believe the valuation is justifiable, assuming that major business divisions continue to show high growth. Investment point Accelerated targeting the global webtoon market based on the piccoma model. High growth not only in webtoons but also in games.'"
2022.06.02 12:15,cacao,"It's been on Naver since a few days ago, so you haven't bought it yet?? It's frustrating"
2022.06.02 12:24,cacao,Don't compare with Naver. Naver is listed here and there like KAKAO and it looks like a window*
2022.06.02 12:31,cacao,"Don't be noisy anymore, let's go up, let's all join forces and climb up"
2022.06.02 12:36,cacao,"Calm down, this guy who says he's going to 150,000 is kidding with 80,000, put it up quickly in a situation where it has to double"
2022.06.02 12:38,cacao,"Criticism play starts 81,500 won is down, but you can laugh"
2022.06.02 12:58,cacao,Aha… Now I can't even breathe
2022.06.02 13:01,cacao,Evacuate to King God Hawk Naber
2022.06.02 13:08,cacao,"Yoon Seok-yeol raises Joo Joo, the last vocalist of Gae Kao? Haha do you mean it?"
2022.06.02 13:09,cacao,When is KAKAO going to go up in half? Really. it's beom Wouldn't it be fun to just watch them get hit all year round?
2022.06.02 13:11,cacao,"The stock market targets are too high, they have been bitten, and they have to escape."
2022.06.02 13:15,cacao,"I ask the third question...A rating of 90,000 won 1000 shares My blood is dry...Is it possible to escape within the month of June due to a burning thirst...?"
2022.06.02 13:30,cacao,"They're still encouraging me to say I'm a young owl, but I'm a super ant, so I just take 100 million a month for my membership."
2022.06.02 13:34,cacao,"As the initial public offerings (IPOs) of pre-listed companies with the smallest total IPO amount for the first time in two years are shrinking, the market size is in an atmosphere of returning to before the spread of the novel coronavirus (COVID-19). Finally, last month recorded the minimum amount of public offering in two years. A reversal of the atmosphere seems unlikely as many of the IPOs that were originally scheduled are delaying their listing. According to the Korea Exchange on the 2nd, the total amount of public offering of newly listed stocks in May was 77.5 billion won. This is the smallest amount since May 2020 (21 billion won), the early stage of the spread of COVID-19. There were only three new listings, which was also the lowest in two years. This year, the public offering market is on a gradual downward trend. With the listing of LG Energy Solution at the beginning of the year, a 'domino public offering' was expected as a signal, but the market has been shrinking for several months. The public offering amount, which reached 12,816.7 billion won in January, fell sharply in February (337.9 billion won), and was cut in half in March (152.6 billion won). Since April (88.1 billion won), it has not reached 100 billion won. The industry cited the delisting of Daeeos as the first reason that the public offering market entered a cooling period in the first half of this year. A total of 10 public offering stocks were withdrawn from listing this year, of which 3 were also trillion-dollar IPOs. Last month, SK Shielders and OneStore attempted to enter the KOSPI, but withdrew their IPOs due to the lack of competition in institutional demand forecasting, and Hyundai Engineering also attempted to go public in February for the same reason. An official from the financial investment industry said, ""The stock prices of companies have been sluggish since the recent listing."" he explained. In fact, it is observed that stocks that suffered from measles due to overvalued controversies at the time of listing are not seeing growth after listing. According to Yuanta Securities, LG Energy Solution, KAKAO Bank, KAKAO Pay, and Krafton, which were listed in 2021-2022, lowered their forecast for this year's total operating profit from 3.6 trillion won in early January to 2.4 trillion won in April. Cho Chang-min, a researcher at Yuanta Securities, said, ""If the downward revision of the operating profit forecast for 2022 continues in a situation where the forecast for 2021 has already been lower than the forecast, the uncertainty that investors feel about the newly listed companies will further increase."" Experts point out that in order to recover the investment sentiment in the public offering market, it is necessary to set reasonable ransom prices by companies going for IPO. However, the market stagnation is expected to continue for a while as preliminary IPO stocks are delaying their IPO in consideration of market conditions rather than efforts to set an offering price. Except for the June spec, a total of 5 stocks are open for public offering, all of which are KOSDAQ stocks, with 0 stocks on the KOSPI. As Socar, Curly, Oasis, and K-Bank postponed their listing schedules, a drought was expected in the public market in the second half of the year. Lee Seok-hoon, a research fellow at the Korea Capital Market Research Institute, said, “The appropriate offering price is important to both IPO companies and investors. Therefore, an appropriate public offering will be of great help in the decision.” This year's IPO earnings are in vain, and it's likely next year."
2022.06.02 13:36,cacao,"Good power, naver power, grab even the good hair and follow it. ㅇ ㅇ Wrong things leaned over and slumped. nigimi"
2022.06.02 13:37,cacao,It's Naver's flat~ Come on~ Let's go ^^*
2022.06.02 13:49,cacao,"Two reasons why Naver is better 1 Recognition is higher 1 My brother-in-law says Neiva 2 I think technology pays off KAKAO, too, only Jojo, Neiva is better Don't fight~~ Come to Neiva and let's have a toast of value Gazua Neiva~ I love you Neiva!(__)"
2022.06.02 13:54,cacao,"If it comes to 20,000 won, buy it."
2022.06.02 13:55,cacao,It would have been nice if it had lasted a year. KAKAO is no longer listed as a subsidiary. Receive all the royalties for doing business with KAKAO. I am a shareholder of KAKAO. Pay KAKAO the right fee. And Bumsu and the CEO should do their best to boost the stock price.
2022.06.02 13:56,cacao,Black cows who can't even read financial statements. Naver per35 KAKAO per15 ㅇㅋ?
2022.06.02 13:58,cacao,Naver fighting!
2022.06.02 14:02,cacao,"It looks like we're almost here, let's go one-way from tomorrow"
2022.06.02 14:10,cacao,"Naver's red light~~ Let's go together, at least lol"
2022.06.02 14:16,cacao,Grandpa Yoo Young-doo Grandpa Jeon Sang-young-doo Grandpa~^^ Have you been right in any of the things you said about KAKAO since last August?. Why do you continue to broadcast on YouTube that is irresponsible and infuriating to so many ants with irresponsible content? We would appreciate it if you refrain from YouTube broadcasts that make the ants shed tears of blood as a torture of hope.
2022.06.02 14:21,cacao,Let's go up quickly. The closing price is only 1 hour away. Let's go up quickly. Roll up quickly.
2022.06.02 14:29,cacao,Make a suggestion to the CEO of KAKAO. Change the name of the Daum portal to KAKAO. Then I will use KAKAO instead of Naver.
2022.06.02 14:44,cacao,Does the 835 break? I just can't get over that ㅠㅠ
2022.06.02 14:59,cacao,"Fair value of large-cap stocks ~~~~~~~~~~~~ Samjeon 50,000 won.. LG 80,000 Hynix 80,000 Hyundai 120,000 KAKAO 40,000 Samsung sdi 320,000 LG Chem 450,000 LG Ensol 150,000~200,000 won Celltrion 280,000 Samsung Biologics 450,000 won Shinhan Financial Group 60,000 won Hana Financial Group 50,000 won KB Financial 60,000 won KEPCO 30,000 KT 32,000 won Sk Telecom 35,000 won LG Innotek 250,000 won Samsung Electro-Mechanics 160,000 Samsung SDS 90~100,000 won Samsung Life 80,000 won See you like this,,,,,,,,,,,,,,,,,,,,, 30 years of experience in the stock market~~ Trust me~~ haha"
2022.06.02 15:00,cacao,Today's closing price is 83600
2022.06.02 15:03,cacao,"Let's blow a shot at the last minute. Today's closing price is 85,000 won."
2022.06.02 15:07,cacao,"Jurin, who I don't know too, pretends to know a lot, but you know better than analysts, don't you? Even if you guys broadcast it and say that those who have no answer are undervalued hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha"
2022.06.02 15:18,cacao,"KAKAO's innovation in short-distance delivery and logistics Since it is implemented based on the KAKAO app, the advantage of using the advantages of the national app to build an infrastructure without a lot of investment is the only system in Korea that only KAKAO can do. The enormous amount of money required to set up a logistics system can be seen from the fact that Coupang loses 2 trillion won every year. No one can jump in easily, but KAKAO has solved this problem. If all the citizens do short-distance delivery, they will all become delivery drivers without paying a fixed monthly fee. Let's assume that there are 1 million KAKAO articles across the country, and a huge daily commission will be captured as KAKAO sales. The infrastructure is already installed with the National KAKAO app. KAKAO, which can be easily and easily done by anyone"
2022.06.02 15:18,cacao,KAKAO acquisition Kinemas sale M&A cap Flying good news~investment information-Kinemisty-World's first platform World's No.1 good news Disclosure Contents http://www.pinpointnews.co.kr/news/articleView.html?idxno=115921 % Investment Information World The world's first issue re-disclosure hit the bottom and the trend rises/starts upward ㅢ/ https://www.edaily.co.kr/news/read?newsId=01833526632327280&mediaCodeNo=257&OutLnkChk=Y & the world's first platform world's No.1 issue re-publication content!
2022.06.02 15:27,cacao,The speed of going up is slow. How far will Naver go? M. Byeong. You have to be a blacksmith. Why is Naver making blacksmithing? Half KAKAO Calm down.
2022.06.02 15:45,cacao,"Why are they coming to the holy land of ants, there is no dividend"
2022.06.02 15:51,cacao,"I opened my mouth and shit came in, I lost my hand lol"
2022.06.02 16:01,cacao,It's skyrocketing after hours hahahahahahahahahahahahahahaha
2022.06.02 16:38,cacao,"Buy today,,,,,,,,,,,,,,,,,"
2022.06.02 17:56,cacao,"KAKAO has a face other than KAKAO Talk?? . Oh, did you get KakaoTalk from the previous government?. . Next??? There is nothing but that ke Naver Aryu Jwakao . ."
2022.06.02 17:58,cacao,"Hey, even though I had some shit today.. Why didn't you go to the upper limit? Is everyone useless? Food delivery starts today. What's the stock price of Chewhojae?"
2022.06.02 19:59,cacao,"Payment service Naver and Tospay overwhelm Internet banks, too, Toss Bank's overwhelming victory KAKAO Bank is a piggy bank 26 weeks of savings Everyone knows that Tospay is much better."
2022.06.02 20:14,cacao,Target 2 million
2022.06.02 20:33,cacao,"Kim Bum-soo splits the company, and should stop the toilet paper trade (listing of affiliates) More KAKAO affiliates than Samsung's Kim Bum-soo's strategy? Affiliate listing (a piece of tissue paper) Straw flower to ants across the country"
2022.06.02 21:17,cacao,"Oh, you're still a dog lover...."
2022.06.02 22:04,cacao,Is the director receiving the minimum wage?
2022.06.02 22:15,cacao,"■■What is it? Short selling balance? Every day, there is a hot selling (7-20%) short sale.... The short selling balance is gradually decreasing, isn't it? Last Friday, I hit 400,000 short shares... but the balance decreased by 200,000 shares... Where did the 600,000 shares come from? It's pretty obvious. I guess they're wearing short coverings~ Kuhel Hel"
2022.06.02 23:10,cacao,It's in ascending order at the end of the downhill road. now mental battle
2022.06.03 00:28,cacao,Is the upper limit going to be covered today? Hahahaha
2022.06.03 04:45,cacao,"Gatkao Daug One day, the flight is already starting. Let's fight. We plan to purchase additional 3,000 shares of Gakkao in the future. Rating 125,000."
2022.06.03 06:31,cacao,frequenthttps://youtube.com/shorts/A9orOxGRpho?feature=share
2022.06.03 06:54,cacao,"Gwajwa-dong, Incheon My mother is Gye-in Lee, Yeongsun-gu, Eungpyeon-gu, My-chun-chun, Gaja-dong, Incheon, Seil Sophie, Saeil Soping Owner, Boo-jeung Lee, Bo-jong Lee. Severe tic symptoms. Manipulation of the number of purchases, unit price of delivery, payment manipulation. Mobile phone wiretapping, hacking. Exploitation of monthly welfare center goods, annual prize money payment. Two people, 8 years old pork spine Gamjatang is not normal. The sound of rubbing still lingers in my ears. After a forced hug by a female employee of Kyungri, a female employee of a sales promotion, slaps and kicks the male employee, and the bullying and viciousness are severe. You Body Buddy Buddy Buddy 1:3 lol"
2022.06.03 07:03,cacao,I said Naver rather than Gerba KAKAO~ haha
