,title + body
90,"The size of the market is returning to before the spread of the new coronavirus Corona as the initial public offering of the preliminary listed companies with the smallest total for the first time in years is shrinking. According to the Korea Exchange, the total amount of public offerings of newly listed stocks in last month was counted as 100 million won, which is the smallest since last month's won in the early stages of the spread of the corona virus. The public offering market this year is on a gradual downward trend. With the listing of Energy Solution at the beginning of the year, the domino public offering was expected to be successful, but the market has been shrinking for several months. The industry has cited the delisting of Daeeos as the first reason that the public offering market has entered a cooling period in the first half of this year. OneStore tried to enter the KOSPI, but withdrew because the competition rate for institutional demand forecasting did not meet expectations. He explained that the stock price of companies has been sluggish since the listing and explained that the trend of more conservative analysis of profitability and growth potential is strong in the process. According to Anta Securities, the total operating profit forecast for this year of Kakao Bank, Kakao Pay Krafton, an energy solution listed in 2018, was downgraded from KRW trillion in the beginning of the month to KRW trillion in the month. If the downward revision of the operating profit forecast for Korea continues, the uncertainty felt by investors about the newly listed companies will increase. However, the market stagnation is expected to continue for a while as preliminary IPO stocks are delaying the IPO in consideration of market conditions rather than efforts to set the IPO price. The issue is that Socar Curly Oasis K-Bank and others postponed their listing schedule, and a drought is expected in the public offering market in the second half of the year. He said that if he subscribes to individual investors before making a decision, he can review the needs of individual investors as well, so an appropriate public offering will help him decide."
91,"Good power, naver power, grab even a good hair and follow it"
92,Naver Bohap
93,"The reason why Naver is better is the reason why Naver is more popular Hello, I love you Neiva Neiva"
94,"If it comes to 10,000 won, I'll buy it."
95,Kakao is no longer listed as a subsidiary Don't go public with Kakao Don't let Kakao do business. I'm a shareholder of Kakao. Pay Kakao properly.
96,"It's a big deal for black cows who can't even read financial statements. Compared to the peak, Naver has lost less."
97,Naver fighting
98,"It looks like we're almost here, let's go one-way from tomorrow"
99,"Go a little like a red light on Naver, at least lol"
100, Grandpa Yoo Young-doo Grandpa Sang Seo Young-doo Grandpa Has any of the things you said about Kakao been right since last month? What is the reason for continuing to broadcast on YouTube that causes countless ants to suffer with irresponsible and pointless content? Thank you for refraining from YouTube broadcasts that make you cry.
101,"Let's go up quickly, there's only time left for the closing price. Let's go up quickly."
102,I make a suggestion to the CEO of Kakao. Change the name of the Daum portal to Kakao. Then I will use Kakao instead of Naver.
103,It broke and I couldn't get over that ㅠㅠ
104,"Large-cap stocks fair value 3 cheonsei KRW 10,000 Eljeon KRW 10,000 Hynix KRW 10,000 Kakao KRW 10,000 Samsung KRW 10,000 LG Chem KRW 10,000 LG Ensol KRW 10,000 Celltrion 10,000 KRW Samsung Biologics KRW 10,000 Shinhan Financial Group KRW 10,000 Finance KRW 10,000 Korea Electric Power 10,000 KRW Telecom 10,000 KRW LG Innotek KRW 10,000 Samsung Electro-Mechanics 10,000 won Samsung SDS 10,000 won Samsung Life 10,000 won It's my second year of stock experience, trust me hehe"
105,Today's closing price
106,Let's blow one shot at the last minute. Today's closing price is won.
107,"Jurin, who I don’t even know, pretends to know a lot, but you don’t know better than analysts’ analysis."
108,"Kakao is the only system in Korea that only Kakao can do because it is implemented based on the Kakao App, an innovation of the short-distance delivery logistics system, and can build an infrastructure without a lot of investment cost using the advantages of the national app. The amount of money is huge. You can see that Coupang is losing trillions of dollars every year. No one can jump in easily, but Kakao has solved this problem. Become a delivery driver Let's assume that there are 10,000 Kakao drivers in the country Every day, huge commissions will be captured by Kakao sales The infrastructure is already laid out with the National Kakao App."
109,Kakao Acquisition Kinemas sales ceiling Flying good investment information-Kinemisty-World's first platform World's first good news announcement Investment information World's first good news announcement
110,The speed of going up is slow. How long does Naver have to follow?
111,The holy land of ants Why do they come in? There is no dividend.
112,"I opened my mouth and shit came in, I lost my hand lol"
113,It's skyrocketing after hours.
114,Buy it today
115," Kakao is not KakaoTalk, but it has a mother. Oh, I also got KakaoTalk because it was pushed by the previous government."
116,"Hey, there was Chewhojae today, but why didn’t it go? Everyone was accustomed to it. Food delivery starts today, but why is the stock price in Chewhojae?"
117,Overwhelming payment service Naver Tospay Internet bank also overwhelmingly wins Toss Bank Kakao Bank is a piggy bank Main savings account facts everyone knows
118,target price
119,Kim Bum-soo splits the company and should stop listing the toilet paper trading affiliates More Kakao affiliates than Samsung Kim Beom-soo’s strategic affiliates listed
120," Oh, you're a dog owner."
121,Is the director receiving the minimum wage?
122,"What is it? The short selling balance is running hot every day, but the short selling balance is gradually decreasing. Last Friday, I hit Manchuria or short sellers, but the balance actually decreased. Where did the difference come from? hell hello"
123,"The downhill road is in ascending order, now it's a mental fight"
124,Is the upper limit covered today hahahaha
125,"Gatkao Dag Someday, the flight is already starting. Let's fight. We plan to purchase additional shares in the future."
126,often
127,"Gwajwa-dong, Incheon My mother is Gye-in Lee, Yeongsun-gu, Yeongsin-gu, My-Cheon, Gaja-dong, Incheon, Sophie, Saeil Shopping, Lee Boo-jeung, Bo-jong-nim, Korean-Chinese, Yanbian, Jin-hee, Makka-yeon-man, Ah Busa Su-Kik-Kik Tic Symptom Severe purchase unit price payment manipulation Cell phone wiretapping hacking Exploitation from monthly welfare center goods Yearly premium payment Severe vagina"
128,I said Naver rather than Gerba Kakao haha
129,I said Naver rather than Gerba Kakao.
130,It's hard to get going this year even if you do it hahaha It's enough if you eat short-term profits ㅋㅋ
131,Let me show you once in a while.
132,"If Christmas falls on Saturday or Sunday, please designate Monday as a substitute holiday"
133,Acquisition completed before today's floor
134,I'm crazy because I'm short covering.
135,Kakao is over.
136,My brother tells me
137,You guys are bound to be robbed anyway
138,Is the dark age of cacao over?
139,I sold all the cloth miscellaneous goods and made cacao
140,"Without Big News, it can't go up because of short selling."
141,"Please help me, this is the floor, give me a chance to escape"
142,I'm going to fall for something like this again ㅋㅋ Awake
143,Prelude to Reversal
144,"I'm asking for the fourth time. My blood is dry, please."
145,"If it fell, I pursued it, and if it lost money, I continued to pursue it, and now it is a profit ㅋㅋ Today is strong. Let's go to the floor this month."
146,The high point is garbage cacao p
147,Automotive Semiconductor Uniquest Pro operating profit increased compared to last year Automotive Semiconductor Uniquest Professional operating profit increased compared to last year
148,Let's buy quickly Let's go up in the future Let's buy more quickly quickly Let's get water quickly
149,katok and katok
150,"Kakao Go Go Let's go to the upper limit today Let's buy a good feeling and let's get into the water, fighting"
151,"Let's make a pillar of fire If we can't make a red pillar of fire on the front line today, our efforts to rise in the past few days will be in vain. Foreign institutions, please come in."
152,"Selling at Naver's high point, it came over before cacao oil."
153,It's always the same pattern I'm uploading it today to take a plunge
154,"Please save me, I just want to do the floor plan"
155,It sold well at Naver High Point.
156,Let's go up fast let's go up
157,Ofro okakao is full of energy today
158,Oh yeah haha
159, You've definitely penetrated the front line. I'm going to at least the circle. Hold onto it.
160,I know cacao is over
161,"Hahahaha I thought I was going to send it three days ago, but it was actually cacao hahaha"
162,Foreign institutions should buy doubles and come to the upper limit as soon as possible.
163,"ㅠ I’m here now, let’s go, Kakao"
164,"I'm going to eat a good deal of credit. Credit only. I'm afraid when the irrational Morgan comes in. If it goes up a bit more, the principal will be restored. I'm afraid, so I'll have to pack some bullets."
165,"Hold up to 10,000 won, take a little more, not sell a single share"
166,"It's the first floor, when will you come?"
167,reunion speech
168,let's go let's go let's go
169,Crazy cacao with no sense of inspiration
170,Now is the best price.
171,I bought treasury stock.
172,These guys are so cute today.
173,"Ride fast, get wet quickly"
174," Buy Next week Sell next week, I buy next week"
175,I am worried about whether to sell it or not to sell it for a million won.
176,Let's go to the prize hahaha
177,"The reason for today's rise is because of the opening day Kakao is trading at 10,000 won, up from the previous day, as of the morning of the same day. It has been net buying 10,000 shares in four days until today. Kakao traded up to 10,000 won per month last year, but its share price fell to 10,000 won last month and halved. U.S. tech stocks, which had been selling on the possibility of a speed control, poured money"
178,"I feel good today, I'm looking forward to it"
179,Do you make a ham-bokki holiday? The days are good and the holidays are long. Stir-fried ham
180,Do you have a lot of people above the critique?
181,Selling from reviewers to reentrants to SakyanidaI
182,I'm trying to be asymptomatic or I'll come out with materials
183,I wish I could work like this
184,It seems to be falling more and more hahahahahahahahaha
185,"Look, I'm getting pushed back. I'm retreating. I'm going to get it now."
186,"Rather than Kakao, Naver did not split up. The trending Kakao is divided into Pay Bank Games."
187,"Uh huh, it’s Tira hahahahahahahahahahahahahahahaha"
188,I'm powerless. Change of government?
189,Then it will come down from now on.
190,Let's go up again with strength Let's go up
191,"Ah, what is flowing at this point is that I want to be insulted."
192,"See it as a long-term investment, you guys."
193,It's been hit for years now it's time for the short seller to get hit
194," If you raise a rating, will it be uploaded within this year? What do you guys think?"
195,"Selling while buying a foreign institution ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ If it falls on Monday, I will buy it ㅋㅋㅋㅋ"
196,"Stocks are simple. People who will have more than 10,000 won buy them, and those who are likely to fall below 10,000 won sell them."
197,"Kakao announces good news, rises smoothly until full bread"
198, It's best to run away for now. The current atmosphere. The current atmosphere.
199,"If the ants don't climb, I'm going to throw in a little loss of hands hahahaha"
200,The short sale is open today.
201,"It is true for long-term investment, but it is better to sell short-term investment if it rises as much as today and buy again if it falls for two or three days."
202,"Oh, this is the end of the reunion"
203,"If you buy at the closing price, eat more on Mondays"
204,"Oh, I threw it all at the beginning, but I threw it to say that I made a lot of money, but it goes up even more ㅠㅠ It hurts my stomach"
205,I went crazy wow
206,Great rise vs. rise vs. uptrend All expected rises are in the process of returning As if they will be pushed back Up to today's closing price Expected to return all of the major rises at the present time Upper tails are falling out of mid-day candles Making the worst candles Medium-risk risk management
207," I pretend to buy garbage, but when the price goes up, it stops"
208,"Once sold, wait-and-see For now, even now, after selling, it seems to be pushed back to the wait-and-see situation."
209,What are the executives of the Gaekao company doing?
210,"Gaz, I can feel the kids who couldn't buy yesterday."
211,"If you look at this as a rebound after hitting the bottom, there are wings in a sewage fall, but once you fall again, the front seater sees it as a mid-term bottom."
212,I bought a full KRW of won
213,"When it falls, it falls funny, but when it goes up, it doesn't climb too ㅜㅜ Now I really want to get out. It's been really hard for me for years. I want to blame someone, but it's all my fault."
214,stronger than exponent
215,I think it's positive because it's starting from now. It's better than Samsung Electronics. It's a three-way battle if you don't cut down on it.
216,"Let's make a pole bee bee at the closing price Let's start at the high price, come on."
217,"Buying full---heh heh, just thinking about buying a full-buy is so cool, I'm going to go ahead and buy it."
218,"A big crash is on the doorstep. Inflation rate hike. Black clouds are coming. When you say low prices, you are drowning in darkness. Be careful."
219,Watch Playing Ants on YouTube
220,"Selling 10,000 won at the average price ㅠㅠ"
221,"Give me a lot of kaka dividends, so I buy a lot of stocks"
222,Gecko Won's mouth blah blah blah blah blah blah blah blah blah blah arigato
223,Let's go off on a day like today
224,It's dripping down half cacao It's been a million years since I've been adjusted
225,"If you go up, you can't see the comments of the negativists."
226,I don't think the stock price will go up easily because of Kakao's exclusive taxi.
227,Kakao doesn't want to be listed on the US NASDAQ lol
228,"I should have sold it to Eira, I stepped on cacao shit"
229,It's really out of the million won. It's ridiculous.
230," The ship is getting dyed, everyone escape. The ship is getting dyed. You have to wear a life jacket to escape. You are on a sinking ship. Only you are at a loss."
231,Just go straight to the plains
232,I'm climbing without getting down.
233,"The higher it goes up, the more the income of foreigners increases."
234,It seems like it's going to go down gradually.
235,"Wow, you sold it at the Won and fried it well. It was a critic, but I tried to eat more and threw it all out. It was meaningless because there were only a few numbers, but I'm glad it was just a dog. See you next time."
236,"It's really unfortunate, I don't like real cacao dogs that flow in half."
237,Prepare for repurchase at the no-buy line
238,"If you buy it, hand it over on the same day"
239,"If it flows really well and matches the market close, the short sale will be cheap today. A market that exists only for short selling."
240,There are no black cows who were afraid
241,"Ah, I only put the week in yesterday, but I thought I would run out of the rest of the money. Still, I earn the price of food in one day. Selling is complete."
242,"Let's go up when we have rested enough Now, let's go up quickly, the last bus gets on quickly"
243,"The time when Korea Shipbuilding & Marine Engineering was flying The time when Celltrion was flying If you look closely, there is a pattern How the lead run ends Just make one peak and don't go one after another The market ends after the lead owner returns again The cycle ends The road to making Ssangbong Ida, the black cows thrown today will not be able to live."
244,Morgan bought it and sold it all at once ㅋㅋ It's a joke lol
245,"It's not selling all at once, but short covering."
246,"I tell you why foreigners should buy Korean stocks. Buy them a lot before the dollar drops. When the dollar falls, you can make a profit, but it would be great to collect the blue-chip stocks now. Why you should buy Korean stocks now"
247,Credit is declining and short sale is repaid
248,"Foreigners are slowly being removed, but now foreigners are slowly removing them to put them in when the plastering is open, and it seems to settle in the latter half of the closing price"
249,walk away
250,"It goes up when you buy it with love and hate, and it goes up when you sell it."
251,"It should be almost profit up to 10,000 won ㅋㅋ No answer Kakao ㅋㅋ"
252,"Um, I'm still not good enough lol Rabbit ttt"
253,It was definitely not running towards the highs in the morning. Why are you running towards the lows again?
254, My money is tied to Kakao My funds are tied to Kakao of love and hate
255,go as it is
256,Kakao said cacao haha Does the stock price drop when the closing price approaches? This is also an ability ㅋㅋ Only the shareholder is pitiful because he was bitten by a gangster.
257,"It's really smooth, half-cooked cacao is really steamy"
258,"After all, is there a possibility that dog mischief will rise?"
259,"The closing price seems to be flat, and the innovation is flying well."
260,"They put it up and sold it a lot, so you shouldn't buy it."
261,"I did it anyway, but Morgan was Morgan"
262,Gaekao stopped by after 3 months and it's getting worse than it was back then lol
263, Closing Price Prediction System Damn it
264,"Look forward to Monday, take a look at those who got stolen."
265,"Let's blow one shot at the closing price At the end, let's do our best to blow one shot at the closing price."
266,"The seat is half the price of this morning's long-distance beekeeping, so Morgan will definitely guide you."
267,The closing price prediction system is almost the same.
268,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
269,Congratulations. I'll get to the start of the week.
270,It seems like I'm going to take it all the way down to the same time issue or to raise it lol
271,JP Morgan is the only one who's short-tempered
272,Replying to @James_Channel
273,"To be honest, if it wasn't for Song Young-gil, I already filmed it. After remarking that Song Young-gil would not believe in Kakao alley infringement without end, he continued to threaten even the Financial Supervisory Service Fair Trade Commission one person a day. Is it irrelevant to the world versus mystery Song Young-gil's random attack on Kakao A collusion with a short selling force, or someone used it, or if it started, you have to end it now What is the reason for the silence as if nothing happened Now that the Kakao business is proceeding one by one, is there any reason for the decline?"
274,"It's the last bet, let's go up, let's go up with all our might, Kakao fighting"
275,Song Yeong-gil cheated on me and the people are judged
276,"Platform regulation buzzing, stuttering good party Jiseon Champagne Naver Kakao shareholders took a lot of punches and tried to wear bulletproof vests, but were hit by a headwind"
277,"From now on, it's no longer the Gyoeumbong that you buy for beekeeping haha."
278,Song Young-gil lol Kakao abyss
279,It's skyrocketing after hours.
280,"The pension fund hyungs only sold entry-level ants No, only ants were robbed hahahahahahahahahahahahahahahahahahahahahahahaha"
281,Won entering only Gajayoungchayoungchayoungcha
282,Song Young Gil Narak
283,"Kakao is a holding company, you will regret it if you buy it. Stocks scheduled to be split. Enter Mobility Piccoma, Lion Heart, and even stock options."
284,Breaking news: Reduction of Tesla employees will make recession worse
285,"You have to gather your minds on price stability as if you were collecting gold. The scariest thing than a shell in war is the price surge. The state has various measures to stabilize prices, but there are only limited means to gain insight into and control the various peoples. Just as we overcame a great national crisis by collecting gold from the heart of the abyss about the movement of prices, it is time to gather everyone's wise wisdom and unite our hearts on price stability. There was no history that could not be done"
286,"As a passionate Daum user and once as a Kakao shareholder, it was a company with a lot of love that I wanted to wait a little longer and include one more time at any time. Excessive usage restrictions, etc. I no longer feel personally attractive, so I erased the widget. I need to go check my e-mail from time to time. Now, there is no merit other than chat. The desire to become a shareholder is gone."
287,I only sold privately.
288,I fall asleep thinking about the person who has been bitten. See you on Monday.
289,Nasdaq is crashing
290,"Selling everything today, I made a profit like it was hard on Tuesday To secure cash"
291,Nasdaq Big Short
292,"Stop the listing of octopus, a company that is busy eating harm"
293, cacao cacao
294,"sold it last winter I sold it last winter I bought it at the time of Lee Myung-bak Park Geun-hye Lee Myung-bak Park Geun-hye, an apartment building that rose 10 million won over the past year. If the stock price exceeds the index, I will sell it."
295,"Inflation slowing down Dollar Weakening Korean corporate tax cuts are accumulating Good news about the recent slowdown in inflation, turning to a weak dollar, considering Korea's corporate tax cut review I wrote the article in detail, so please tell me if there are any mistakes or if there is anything I need to add."
296,Did you catch it on Friday? It's going to crash next week.
297,"Gwajwa-dong, Incheon My mother is Gye-in Lee, Yeongsun-gu, Eungpyeon-gu, My-Cheon-Jeong, Incheon Gaja-dong Sale Sophie Saeil Shopping Owner Lee Boo-jeung Lee Bo-jong-nim Korean-Chinese Yanbian Jin-hee Makkol Yeon-man Ah Bussasu Kick-tick Symptom Severe purchases unit price payment manipulation Cell phone wiretapping hacking hanging Exploited from the payment of the annual premiums for welfare center goods Two-year old pork backbone Gamjatang is not normal Daughter’s breasts are still ringing in my ears Kyungri female employee buttock promotion female employee slaps and kicks a busty male employee after forcibly hugging him Seriously, blow your tongue Lee Hee-chung and listen to your ears Eungpyeongu Yeongshinnae Lee Hahayu Body Buddy Buddy Buddy Haha"
298,"If we go down again, can stocks without stock go up?"
299,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
300,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
301,"Hyungdeul-won, I’m not happy, shall I come?"
302,"Is there another physical split in Kakao? You have to show your special skill. After the split, sell the major shareholder."
303,What kind of cacao is this company ruined hahahahahahahahahahahahahahahahahahaha
304,"I won't buy it until I die. Now, a month or four months is enough."
305,Do you hope for Kakao or regret it Kakao is a respected sport
