	제목+본문
27	카카오 주가 전망 및 분석객관적인 분석일뿐감정이입은 하지 마세요
28	오늘 압축 영화의 재미는이번 선거는 이재명 죽이기경기도 이재명 흔적을 완전히 없애기국힘작전 이었는데천심이 윤석열 뒤통수를 정신 번쩍 들게 하였다다른 지선 결과는 볼 필요 없다이재명 김동연 승리가 이번 선거 영화 하일라이트재미 있는 영화 보았다
29	성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요
30	두번째 물어봅니다평단 만원 주 피가 마릅니다오나요ㅠ
31	두번째 물어봅니다평단 만원 주 피가 마릅니다저랑 처지가비슷하네요 ㅎ저보다 낮으시니 금방올겁니다빛낸거아니면 기다리세요 손절마시고
32	요약쌀값은 쌀 수확기이고 벼가 풍부함에도 불구하고 지난 주간 당  올랐다다른 주방 시장에서 거친 쌀의 가격은 당  로 올랐고 고급 쌀은 어제  에서  에 판매되었습니다모든 최신 뉴스를 보려면  의  뉴스 채널을 팔로우하세요방글라데시 무역공사에 따르면 잡곡과 고운 쌀 가격은 지난 일 동안 각각   올랐다상인들은 정미소 소유주가 시장에 충분한 쌀을 공급하지 않고 있으며 공급을 개선하지 않으면 가격이 더 오를 수 있다고 말했습니다   의   국장은 질문에 대해 농부들이 작년보다 헥타르 더 많은 만 헥타르에서 보로를 경작했기 때문에 시장에 쌀이 부족하지 않았다고 말했습니다그는 이번 시즌에 약 헥타르의 논에서만 홍수로 피해를 입었다고 말했습니다 게다가 연출도 좋았다는 이번  시즌에 만 톤의 논을 수확할 것으로 예상했으며 목표의 거의 가 이미 달성되었다고 덧붙였습니다게다가 이달 말까지 전국 각지에서 농부들이 계속해서 논에서 벼를 가져옵니다그는 시장에서 인위적인 부족을 초래한 상인과 제분업자를 비난했습니다그러나 다른 지역의 여러 정미소 주인들은 농민들에게서 구입한 벼가 제대로 익지 않았고 즉시 쌀을 생산할 만큼 충분히 건조되지 않았다고 말했습니다한편 정부가 물가를 통제하기 위해 전국을 습격했지만 첫날부터 큰 효과를 거두지 못했다어제 오후 관리들이 올드다카 바부바자르의 쌀 도매시장에서 드라이브를 했지만 대부분의 상점이 문을 닫은 것으로 나타났습니다식약처와 식약처 관계자 팀이 오늘 수도에서 드라이브를 할 예정입니다이 운동은 내각이 관리들에게 승인되지 않은 쌀 사업과 비축에 연루된 회사에 대한 조치를 취하도록 지시한 지 하루 만에 시작되었습니다칸드커 안와룰 이슬람   내무장관은 일요일 법적 승인 없이 일부 대기업이 쌀을 사재기하고 있다고 말했습니다어제 수도 나할파라 주민인  은 수도의 한 주방장에서 미니켓 쌀을 당 에 샀다 다른 생필품 가격이 오르자 로 바꿨다  였습니다 이제 는 당  입니다그는 지출을 줄이기 위해 정말 열심히 노력하고 있지만 실패하고 있다고 말했다비난하기국내 최대 규모의 쌀 시장 중 하나인 의  시장에서 우리 특파원은 어제  쌀  자루당         에 판매되었음을 발견했습니다     상인들은  자루의 가격이 주 동안   인상되었다고 말했습니다시장의 가게 주인 골람 라바니는 가격이 거의 매일 바뀌고 있다고 말했다 그는 이에 대해 정미소 주인을 비난했습니다반면에    의 공동 비서인   는 방앗간 소유주가 벼를 더 높은 가격에 구매하고 있다고 주장했습니다의 쌀 가격은 토요일에 당  인상되었습니다  의 전무이사인  은 을 따라 벼 가격을 비난했습니다그러나 농부들은 동의하지 않습니다의 의 논 재배자인  은 논 가격이 오르지 않았다고 말했습니다에서 쌀 상인들은 공급 부족을 비난했습니다 비 우박폭풍 해충의 공격은 벼 수확량을 크게 감소시켰다고 그들은 말했다의 벼 및 쌀 재고 및 도매업자 협회 회장인   는  지역의 쌀 생산량이 헥타르당 예상보다 톤 적었다고 말했습니다그는 제분업자들이 쌀을 생산하고 공급할 수 있기 때문에 이번 주에 쌀 가격이 하락할 것으로 기대한다고 말했다  및 의 기자들이 이 보고서에 기여했습니다요약 인도 식량 자원 무기화관련주 신송홀딩스
33	호재공시 매수세력 유입중
34	원올려놓고오늘도허벌라게빼것네ㅋㅋㅋ
35	제 입성했습니다카카오 화이팅
36	탈출들햐ㅇㅇ
37	은근히 만원 잘 버티네요원 짜리 주제에
38	유앵두 월부터오른다햇지만 안오르쥬ㅋㅋ또낙엿쥬
39	기술주 폭락이 와도 걱정할 것 없는 카카오기술은 무슨 기술동네 상권 뺏어오는 기술대리기사 택시 시장 숟가락얹기도 모자라서탁송대리 시장도 한발짝 걸치려는 기술이게 무슨 기술주임 ㅋㅋ주주님들우리는 기술주폭락에 걱정 안하셔도 됩니다편안하소서
40	ㅇㅇㅊ기업의 교본이네상도가 없는놈들 기술은 아무거도없고 ㅉㅉ
41	지금이니ㅇㅇ
42	폭락은 무슨네이버의 하수인같은 존재항상 네이버 보다 많이 떨어져항상 네이버 보다 조금 올라나은게 하나도 없네평생 네이버 똥 나 빨아라
43	오늘 풀매수기회 한번 주ㅋㅋㅋ깜사
44	쑤뤠기 같은아주 엿 같은 종목에휴
45	지금하락시키는거 전혀자연스럽지않네요
46	팔카오에서언젠가 층진행하겠군
47	네이버로 가라떨굴땐 일등 오를땐 꼴등
48	너무 기초체력이 없다나스닥좀 내리면 그냥 쳐발리고 ㅋㅋ분할 그만쳐해라 진짜
49	숏커버링통정 바닥
50	분할 매수하자이 금액은 싸다 빨리 빨리 매수하자
51	반등도 제데로 못하는건 뭐지이미 하락이 깊어 모두들 털고 나가는거여이미 물렸는데용돈 벌려고 추매하면 안되나요
52	이게뭐냐난 괜찮다만원이라도 수익중이다언젠간 제자리 찾아갈거당
53	이건유튜브들 때문이다ㅜㅜ
54	공매도 맛집이네아주그냥막주무르네
55	월일 카카오 음식배송시작ㅅㅅ오늘 카카오음식배송 출시일ㅅㅅ카카오픽커오픈일이네오늘오후에 불장난할듯 인정
56	아이고이 개카오좀 보소
57	카카오직원들배가불렀구나 밖에있는사람들은 카카오직원들 부러워하는데 불평이라니옛날부터 종을 잘대해주면 상전을 몰라본다는말이 있죠 직원들 너무 우대해주면 안된당께요휘둘리지말고 꽉잡으쇼
58	한주도 내주지마라외인들한테 싼값에 넘기지말라고 ㅋㅋ바닥에서 털리는 놈들은 주식 접어라
59	언제도대체십만원 넘을런지기다리다 지치네
60	느낌이오후에 말아올릴듯 ㅎㅎ
61	한주도 내주지마라주식을 샀으면 끝까지 가지고 간다 카카오는 가지고 만 있으면 올라간다 끝까지 가지고 있어라
62	유영두만원 회비내는 사람은 뭘까요추천하는 네이버 한전 카카오 바이오 팜 년간 단한종목도 안오르고 반토막났는데도 믿고 따르는 사람들이 신기할뿐
63	이를 뒤집어쓰고있으면 비뚤어질왜자가된다이제는를 벗어버려라
64	원갑니다ㅋㅋㅋㅋㅋㅋㅋㅋ
65	게다가 사람들까지모여들면 왜곡왜자가된다이제는그러한사람들도 벗어버려라
66	개미 털기 그만 하고 올라가자빨리 빨리 말아 올려라 올려
67	시작되었도다오늘 전설찍을날임
68	 가즈아
69	윤도리 당선효과 끝난거 ㅋㅋ 확장성 타령하던 놈들 딸딸이도 끝났네카카오는 대표적 물적분할 기업이라서 매력 없다고 했더니 플랫폼 기업은 확장성이 생명이라면서 물고 빨던놈들 뭐하냐 구글 같은 세계 최고의 플렛폼 기업들이 바보라서 물적분할로 확장성을 포기한거냐 주주친화적 기업으로 갈껀지 세 경영의 발판을 마련키 위한 복잡한 지배구조를 통해 증여에 미친 기업으로 갈껀지 이정도는 보고 장투를 하던가
70	아직 월급 안받고 계시겠죠뻥이었나
71	네이버 따라가야쥬고고싱
72	네이버는 양봉 카카오는 음봉 주도주 아닌데 왜삼유투브에서 사라고해서 니들이사면 절대안오른다그리고 주도주 천보 앨엔에프 에코프로비엠이다 가서 차트좀봐라 어휴 돈을못버는이유는 공부안하고 유트브보고 사서다
73	카카오잘될거야
74	카카오 화이팅오늘 기운내서 상승세 타보자 추가매입해서 빨리빨리 십만원선
75	얘는 회생 방법이 없나보네오너의 한계정이 나오는건가 거의 쓰레기 기업
76	 개 ㅅㄲ야공먀 좀 그만 해좀 올라가자이 쓰레기 ㅅㄲ조금만 올랐다 싶으면 공매질이야망해라 유대 자본놈아정공으로 주식을 하란 말이야이 버러지 ㅅㄲ야
77	카카오 오주요 사업부 고성장세가 유지된다는 가정 하에 정당화될 수 있는 밸류에이션으로 판단 투자포인트 픽코마 모델을 기반으로 한 글로벌 웹툰 시장 공략 가속화 웹툰 뿐만 아니라 게임 영역에서도 고성장라고 분석했다
78	몇칠전부터 네이버사라니깐아직안샀어답답하네
79	네이버랑 비교하지마라네이버가 카카오처럼 여기저기 상장시켜서 몸파는 창로 보이나
80	더 이상 시끄럽게 하지 말고 올라가자모두가 힘을 합쳐서 올라가자 영차영차 올라가자
81	정신차려라네이놈 만간다는놈이 만대에서 장난하냐 두배가올라야 되는상황에 빨리 올려놔라 니네들 배만 채울생각말고 주주랑 같이 배좀 불리자 빨리 상한가 한방날려라
82	평단 놀이 시작원 내리고있지만 웃을수있다
83	아하이제 한숨도 안나온다
84	킹 갓 매 공나베르로 대피하시오
85	개카오 마지막 발악문재인 주도주를 윤석열이 올려준다 ㅋㅋㅋ말이되냐
86	반토막 카카오는 언제쯤이나 오를려나진짜환장 하겠다 범수야 년 내내 쳐 맞는거 보고만 있으면 재밌냐
87	증권가 목표가 높은이유지들도 물렸거덩 탈출해야 되거덩
88	세번째 물어봅니다평단 만원 주 피가 마릅니다타는 목마름으로월달안에 탈출 가능할까요
89	아직도 영두빼밀리사라고부추기던데슈퍼개미 맞어 그냥 월 회원수로 억씩 챙겨가나
90	년만에  신규상장공모액합계 최소규모예비 상장사들의 기업공개가 위축되면서 시장 규모가 신종 코로나바이러스코로나 확산 이전으로 돌아가는 분위기다 급기야 지난달은 년 만에 최소 공모금액을 기록했다 당초 예정됐던  대어들이 상장을 미루고 있어 분위기 반전도 여의치 않아 보인다일 한국거래소에 따르면 지난 월 신규상장 종목의 공모액 합계는 억원으로 집계됐다 이는 코로나 확산 초기인 지난 년 월억원 이후 최소 규모다 신규 상장도 단 건으로 이 역시 년 만에 가장 적었다올해 공모시장은 점진적 하향세다 연초 에너지솔루션의 상장을 신호탄으로 도미노 공모 흥행이 기대됐으나 시장은 몇 개월 째 위축되고 있다월 조억원에 달했던 공모액은 월억원들어 급감했고 월억원에는 여기서 반토막이 났다 월억원부터는 억원에도 이르지 못하고 있다업계는 올해 상반기 공모시장이 냉각기에 접어든 첫 번째 원인으로 대어들의 상장 철회를 꼽았다 올해 들어 총 개 공모주가 상장을 철회했는데 이중 조 단위 도 건이나 됐다지난달 쉴더스와 원스토어는 코스피 입성을 노렸으나 기관 수요예측 경쟁률이 기대에 못미치며 를 철회했고 현대엔지니어링도 지난 월 같은 이유로 상장 시도를 거뒀다한 금융투자업계 관계자는 대어들이 연달아 수요예측 과정에서 발목이 잡히고 있는데 대해 최근 상장 이후 기업들의 주가 부진이 이어지고 있다며  과정에서 수익성 성장성 등을 더욱 보수적으로 분석하는 기조가 강하다고 설명했다실제로 상장 당시 고평가 논란으로 홍역을 치른 종목들은 상장 후 성장세가 기대에 못미치고 있는 것으로 관측된다 유안타증권에 따르면 년 상장한 에너지솔루션 카카오뱅크 카카오페이 크래프톤의 올해 영업이익 합계 전망치는 월 초 조억원에서 월 조억으로 하향 조정됐다조창민 유안타증권 연구원은 년 이미 전망치를 하회한 상황에서 년에 대한 영업익 전망치 하향 조정이 지속된다면 신규 상장될 기업에 대해 투자자들이 느끼는 불확실성은 더욱 확대될 것이라고 진단했다전문가들은 공모시장의 투심 회복을 위해서는 에 나서는 기업들의 합리적인 몸값 설정 등이 동반돼야 한다고 지적한다 그러나 예비 공모주들이 공모가 책정 등을 위한 노력보다 시장 여건을 고려해 를 미루고만 있어 시장 침체는 한동안 이어질 전망이다월 스팩을 제외하고 총 종목이 공모를 진행하는데 모두 코스닥 종목으로 코스피 종목은 건이다 쏘카 컬리 오아시스 케이뱅크 등이 상장 일정을 연기하며 하반기 공모시장에서도 대어 가뭄이 예정됐다이석훈 자본시장연구원 연구위원은 적정 공모가는  기업과 투자자 모두에게 중요하다면서 해외 사례에서와 같이 주관회사가 공모가를 결정하기 전에 개인투자자 청약을 하게 되면 개인투자자의 수요까지 포함해 검토할 수 있어 적정한 공모가 결정에 큰 도움을 줄 것이라고 말했다올해 공모주 수익은 물거품이고내년에나 가능하겠네요
91	좋세력아네이버 세력 좋털이라도 잡고 따라가라ㅂ ㅈ 가튼 것들이 기들어 처앉아 조졌다니기미
92	네이버 보합이다우리도 최소 보합은 가야지자출발
93	네이버가 훨 낳은 이유 가지 인지도 훨 낳다 울 매형도 네이바 한다 기술력이 낳다고 본다 카카오도 조치만 네이바가 훨 낳다그러니깐포털은 무족권 네이바우리는 한가족카카오와 네이바는 한 가족싸우지 말고네이바로 와서가치 축배를 들자가즈아 네이바네이바 사랑해요
94	만원오면 사면디야ㅋㅋ
95	년을 쳐 팼으면 됐지 카카오는 자회사 상장 더이상 하지마라카카오로 장사하는 것들 사용료 다 받아내라 난 카카오 주주다 카카오에게 수수료 제대로 내라 그리고 범수와 대표는 주가 부양에 전력을 다하라
96	재무제표도 볼줄 모르는 흑우들 큰일이네고점대비 네이버가 덜빠졌어 ㅉㅉ네이버 카카오 ㅇㅋ
97	네이버화이팅
98	거의 온거같다내일부터 원웨이 가보자
99	네이버 빨간불같이 좀 가즈아 최소한 ㅋ
100	유영두 할아버지 전상서영두 할아버지작년 월 이후 당신께서 카카오에 대하여 말한것 중 하나라도 맞은게 있나요무책임하고 턱없는 내용으로 수많은 개미들께 고통을 주는 유트브 방송을 계속하는 이유가 무엇인가요희망고문으로 개미들 눈에 피눈물 흘리게 하는 유트브 방송은 자제하여 주시면 감사하겠습니다
101	빨리 빨리 올라가자종가 도 시간밖에 안 남았다 빨리 빨리 올라가자 빨리 말아 올려라 올려라 올려
102	카카오 대표한테 건의하나 한다다음포탈 이름을 카카오로 바꿔라그러면 네이버 안쓰고 카카오 쓸께
103	가 깨지나고작 저걸 못넘어서 ㅠㅠ
104	대형주 적정주가삼전 만원엘전 만원하이닉스 만원현대차 만원카카오 만원삼성 만원엘지화학 만원엘지엔솔 만원셀트리온 만삼성바이오로직스 만원신한지주 만원하나금융지주 만원금융 만원한국전력 만원 만천원텔레콤 만천원엘지이노텍 만원삼성전기 만원삼성에스디에스 만만원삼성생명 만원내가 이래뵈두년차 주식경력입니다한번 믿어보세유ㅎㅎ
105	오늘오늘 종가는
106	막판에 슈팅 하나 날려버리자오늘 종가는 원이다
107	저또 모르는 주린이 생키들이종나게 아는척 하는데 니들이 에널리스트 분석보다 잘 아냐 니들이 방송해라 답도 없는 생키들 저평가라 하는데도 아니란다 ㅋㅋㅋㅋㅋㅋㅋㅋ 미칭 그러니 개박살나지
108	카카오 근거리 배송물류계의 혁신카카오앱을 기반으로 시행되기 때문에 국민앱의 장점을 이용해 많은 투자비용이 들지 않고 인프라를 구축할수 있다는 장점이 한국에서 유일하게 카카오만 할수 있는 시스템이다물류시스템을 갖추기 위해 들어가는 돈이 엄청나다는것은 쿠팡이 매년 조원씩 적자가 나는걸 보면 알수 있다누구도 쉽게 뛰어들수 없지만 카카오는 이 문제를 해결했다국민 모두가 근거리 도보배송을 하게되면 고정월급을 주지않아도 수수료를 받고 국민 모두가 배송기사가 된다전국에 카카오 기사들이 만명이라고 가정해보자매일 엄청난 수수료가 카카오 매출로 잡히게 될것이다이미 인프라는 국민카카오앱으로 깔려있다간편하고 쉽게 누구나 할수 있는 카카오 앞으로도 무궁한 발전으로 국내 최고 기업이 되길 바란다
109	카카오인수키네마스매각상한가날아가는호재투자정보ㅡ키네미스티ㅡ세계최초 플랫폼 전세계위 호재공시내용투자정보세계위세계최초호재공시바닥찍고대세상승우상향시작ㅢ세계최초플랫폼세계위호재공시내용
110	올라가는 속도가 굼뱅이여 네이버가 얼마나 가야 따라 갈지 엠병니가 대장질 해야지 왜 네이버가 대장질 하게 하는지 반토막 카카오 정신차려라
111	개미들의 성지왜들 들어오는거야배당이 있는것도 아니고
112	아가리쩌억벌렸다가 똥이 들어왓네 손절 ㅋ
113	시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ내일 만원 찍을듯 ㄷㄷㄷ
114	오늘 매수하라는디
115	카카오는카카오톡 말고 모가있음 아 카톡도 전정권에서 밀어줘서 받은거지 다음그딴거 밖에 없잖아 ㅋ네이버 아류 좌카오
116	머야 오늘 씹호재있었는데도상한가왜못간거야다들익절한거임오늘부터 음식배송시작인데씹호재에도주가는왜이래
117	결제서비스 네이버토스페이가 압도인터넷은행도 토스뱅크의 압도적인 승리카카오뱅크는 저금통이다 주 적금이다 뭐 잔바리 많은데토스는 그냥 무조건  중간에 넣었다 뺏다 자유직접 써보면 결제서비스도 네이버페이토스페이가 훨씬좋은건 다들 아는사실
118	목표가만원
119	김범수는 기업 쪼개 휴지조각 장사계열사 상장멈추어야삼성보다 더많은 카카오 계열사 김범수의 전략 계열사 상장해휴지조각전국 개미들한테 빨대꽃아  강성 친문같어
120	으 개잡주여전하구나
121	그 이사분최저임금 받고있나요
122	뭐야 공매도잔고가매일매일 열씨미 공매도 치는데공매도 잔고는 오히려 점차점차 줄어들고있잖아 지난 금요일에는 만주나공매도 때렸는데 잔고는 오히려만주가 줄었잖아 그 차이 만주는 어디서 온거야 크크 뻔한게지잉죄우지간 그들은   중인가봐아아아 쿠헬헬
123	내리막길 끝오름차순이긴하네 이제 멘탈싸움
124	오늘 상한가 가려나 ㅋㅋㅋㅋㅋ
125	갓카오다그언젠가는 비행을 이미 시작하고 있다 화이팅하자 갓카오 보유지분 주 앞으로 추가매수 예정 평단 만천
126	잦
127	인천 과좌동 엄마는 이계인 응편구 영쉰내 마이쮸쮸인천 가자동 세일소피새일소핑 오너 이부증이보종님조선족연변 출신 진희맛짖연만 아 부사수켕킁켁 틱 증상 심함매입개수납품단가결제대금 조작핸드폰 도청해킹매달 복지관 물품매년 경품비 결제대금에서 착취이인조 년 묵은 돼지등뼈 감자탕 되서정상 아님딸이힁선 슴가 물컹물컹 주물럭주물럭 거림 소리가 아직도 귀에 맴돔경리여직원 엉덩이판촉 여직원 강제 포옹 후 슴가남직원 내려치고 걷어차고 개갑질개악덕질 심함 본인 혓바닥과 이힁천 귓대기 날리세요응편구 영쉰내 이하이하이하유 바디 버디버디버디 ㅋㅋ
128	거바 카카오보단 네이버라고했지ㅋㅋ
129	거바 카카오보단 네이버라고했지암카카오 쭉간다 봐라 ㅎ
130	올해지랄을해도만가기힘들다ㅋㅋㅋ단기수익들이나먹으면그만이다ㅋㅋ
